
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log_model:config_dict = {'uuid': 'DIP_project_gaussian_kernel=4_sigma=25', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'gaussian_size': 4, 'gaussian_sigma': 25}

INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.60549071254092
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 35.45813841812102
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.69182375831656
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 35.99886750887852
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.63930237265034
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.2965478892183
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.6604100729707
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.456591350905114
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.5912081159828
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.392825334644286
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.66027533545172
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.315614939558586
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.72945537551664
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.21315621009486
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.726711315636294
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.40109142896733
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.727548744377145
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.301143693191875
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.73258434203189
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.26299796898402
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.75509978119801
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.591636791520244
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.7576309574568
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.456844772619085
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.75332170111152
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.44376740977407
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.75036819533982
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.48980870085041
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.82972436345179
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.145956192337664
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.785777463462686
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.278085505208
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.79569160642567
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.292004654399534
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.83151016997235
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.53892543454626
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.84052848080152
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.42554221829852
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.85761283280292
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.143916705560954
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.863106133637594
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.44208090087278
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.872012085367544
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.774545445488684
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.84806564650154
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.672394807503835
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.90299469415241
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.465865781388175
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.93709402347048
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.73012251278066
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.91436326395885
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.859993546921
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.918929915240064
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.72861141871239
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.73007658390225
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.44235854910029
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.9815966854005
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.335410372495886
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.98992701832131
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.67994565577485
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.97378126378117
