INFO:logs/DIP_log_model_gaussian_with_noise.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_gaussian_with_noise.log_model:config_dict = {'uuid': 'DIP_project_gaussian_with_noise', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'gaussian_size': 64}

INFO:logs/DIP_log_model_gaussian_with_noise.log:Training model...
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.306414924141745
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.378877083018352
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.227825349553772
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.379338235304562
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.373519170710395
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.373277798269186
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.38293445973985
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.395419751312453
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.372624082034907
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.367773704281415
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.358522138946594
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.351122057979207
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.485431832129123
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.377415254661656
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.502903348909513
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.392717289288665
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.297978834520745
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.397394743798703
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.315935890122272
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.39580844689801
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.35542236980423
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.394294881095306
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.250880261015688
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.386605383815223
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.384831847851892
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.405829048642364
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.46804681277193
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.392506571015208
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.59376633815023
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.39675812473664
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.350606403302866
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.39625744969145
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.324249524709742
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.39681309387532
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.426071062152378
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.402380121340297
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.46341112936898
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.401853300064754
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.37290417394289
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.403134324689404
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.377272578475765
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.404374516374837
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.419616123427716
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.409293383243547
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.600821597259646
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.404487027416316
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.44862648964775
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.404890421714413
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.356928425819195
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.40613002961849
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.32822659184465
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.407209168423194
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.40970986227574
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.404962217595134
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.490415885746483
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.408297822929537
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.531729175316023
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.401381149078773
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.35606733723007
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.40245461157652
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.410886491909206
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.41150416968018
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.396531669803615
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.414669045896094
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.36837361203215
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.408166013553643
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.476882355147232
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.42194025445244
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.218089813346694
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.40386544452678
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.45288921068484
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.41215756739978
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.3133631973873
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.407799055526507
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.311745548495093
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.411111670701047
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.338097042520683
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.41398149594351
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.44209458111797
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.41827302962315
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.512728212162767
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.41417446268014
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.45073812318126
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.409285026816057
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.31513921848207
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.41366909532315
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.49338150812671
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.415392660969072
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.35487513144474
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.417634832023175
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.30800865053884
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.415607231019045
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.36368969082595
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.416921036240286
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.393894837327657
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.41522875843456
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.6198364447269
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.415336172591253
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.407351096783962
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.411717845035447
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.53770408626895
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.41896422977563
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.517438250488173
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.415445150062602
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.352752089208472
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.41844265163433
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.298215770105664
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.417110965034823
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.34283017873476
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.412309063836194
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.47916071104811
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.413222808390287
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.19854363991055
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.421240239180474
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.354721999708662
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.423233885308942
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.415386845603702
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.41761283172279
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.49439478297424
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.424496260220412
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.33999836651453
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.41421032907146
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.396739470329862
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.419172591776
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.364479039398386
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.42265323004293
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.34074064307683
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.416929320982806
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.41551579287571
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.42170394892235
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.43458943004211
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.422587204769588
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.601803654713155
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.424802112107187
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.39155405864684
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.415487660723656
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.532415552498225
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.421444672938215
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.361813236767023
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.42571635332483
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.5337615131196
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.419271990744704
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.490357769927325
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.43259488879173
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.302970036935278
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.41960720063256
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.41192267421687
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.42784302958776
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.48056575852365
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.42604233211836
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.461590752749327
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.42413900631152
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.3398594267488
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.417918935471576
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.439611845170155
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.424526992941534
