INFO:logs/DIP_log_model_gaussian_+_noise.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_gaussian_+_noise.log_model:config_dict = {'uuid': 'DIP_project_gaussian_+_noise', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'gaussian_size': 64}

INFO:logs/DIP_log_model_gaussian_+_noise.log:Training model...
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.630576224287267
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.689677845883025
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.671892376904793
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.686944179684502
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.644989280216414
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.704099358309776
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.762031144840233
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.709887949343795
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.826803213663368
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.71287305726457
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.66872859746604
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.718436293624066
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.5174489338335
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.699466709929787
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.78939285135265
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.718424209287214
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.77557301143318
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.71301306847857
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.62183265008927
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.739001254359408
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.798310316918236
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.754405794611525
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.766268143712686
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.738254206008687
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.750823681906336
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.763780722110184
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.62654615243256
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.76778237885415
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.612606474689716
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.773470708818568
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.66305459153402
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.78076562404162
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.605435508651386
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.780607363823908
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.6869027524411
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.786479446718843
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.644990771228738
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.789995405641953
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.836227554143026
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.794174031741754
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.779348449814037
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.787312972567346
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.77898615464807
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.793984508105247
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.654769818637156
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.79767110243162
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.76297073150084
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.799384103548977
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.800314023497002
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.803940649728414
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.74108709068784
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.796675382870436
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.6832946559621
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.80771213159282
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.726944002282888
