INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log_model:config_dict = {'uuid': 'DIP_project_gaussian_kernel=128_sigma=3', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'gaussian_size': 128, 'gaussian_sigma': 3}

INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:Training model...
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.02956734767868
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.25642961417939
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.034220423252982
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.347432340971373
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.03486792947938
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.473301349728008
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.034122572137967
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.538353642488772
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.03730964027862
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.037868620625147
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.03475112698918
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.243258460780936
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.039336014450722
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.153704379419047
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.03323112098488
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.230746083859334
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.03053568466867
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.458167446218017
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.03588497537424
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.299760830165827
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.038685169234714
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.314231809132686
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.042750870172007
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.353177760903247
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.03200839030581
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.318094103332637
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.036783624931097
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.08154035404938
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.04072380791847
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.560476606168194
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.04243912979186
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.16390584717004
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.04014517650543
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.53987099273963
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.0372703805445
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.143506642399668
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.04273051315047
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.035126067595627
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.038943862215284
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.345200231312152
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.045660669305096
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.035965569245356
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.03911543937873
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.10761968296303
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.045738511434532
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.361749584075337
