INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log_model:config_dict = {'uuid': 'DIP_project_gaussian_kernel_sigma=3', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'gaussian_size': 64, 'gaussian_sigma': 3}

INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:Training model...
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.053751252989112
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.313621342716754
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.081180334581404
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.535289388626794
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.079031607616535
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.54393032476427
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.074218361922266
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.514648827222523
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.070379154946817
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.131686599836836
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.07747081490314
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.391495464201807
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.080633588429297
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.79459377588415
