INFO:logs/DIP_log_model_sinc_kernel=64.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_sinc_kernel=64.log_model:config_dict = {'uuid': 'DIP_project_sinc_kernel=64', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'sinc_size': 64}

INFO:logs/DIP_log_model_sinc_kernel=64.log:Training model...
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.662126127859736
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.33946163727354
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.651031454396424
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.394157147850215
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.658063090231124
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.357880415409426
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.656470213309746
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.817795568573324
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.66611526466925
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.600020410537766
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.66709172296447
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.64412470924314
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.66561953149909
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.291238595366465
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.66952651067018
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.460371686167406
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.671785839462416
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.36794931041532
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.67515919374827
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.495103215326196
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.68019385932794
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.132445126465626
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.677900482071834
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.3021874190351
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.669596191562086
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.331774424382694
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.671928191074834
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.32648606821775
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.686808225070486
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.05852932629076
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.681287797850736
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.439758185170156
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.68813213301429
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.386986610042406
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.691317571216565
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.2960040897521
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.69488917312632
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.65280024135669
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.69398163288314
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.33260743897906
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.693115126364376
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.54555598561949
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.69754470117026
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.27931948687162
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.69640449625334
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.45339256841829
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.69958611421995
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.40601597220354
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.69923346757211
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.48937898133161
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.69828933997711
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.556335975434074
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.696527251127264
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.20520987570421
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.70427808615682
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.363549285152054
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.701445922582856
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.51429237058936
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.70185356730697
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.23452950059735
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.70319879602912
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.559493007299096
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.70142491412279
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.45803707636715
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.70554543410603
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.55819958733225
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.702517622342214
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.41812192884902
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.7057635547366
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.683709525277564
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.70762787243962
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 32.97555307712635
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.70954669170602
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.29941440333031
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.711858421158816
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.62579778375257
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.70498997305318
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.33192967357714
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.713227189286336
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.62278219748028
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.71332924453343
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.34642520482777
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.71354296210367
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.92940811552887
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.714336029108985
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.752278514637496
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.715153392368514
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.448699324970896
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.71623888580275
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.46667327815084
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.715189111680466
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.62388204708228
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.716184525000095
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.43774288642623
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.71706023751997
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.429560809771274
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.71561926093771
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.17435388484067
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.71647042655419
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.287842550292076
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.71675848231308
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.29004492197075
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.71687349117316
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.67714934657365
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.71729679392887
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.39529158078368
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.71593778298406
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.36223724069737
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.71939487532734
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.44368338535609
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.720614213677
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.331145194100564
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.719897059580774
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.14464179368649
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.718990431066146
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.54372116091783
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.719237546679466
